user_id,username,username_uppercase,username_lowercase,username_numeric,username_special,username_length,username_se,screenname,screenname_uppercase,screenname_lowercase,screenname_numeric,screenname_special,screenname_length,screenname_se,screenname_emoji,screenname_hashtag,screenname_word,description,description_length,user_md_follower,user_md_following,user_md_follow_ratio,user_md_total_post,user_md_total_like,user_md_verified,user_md_protected,label
,,,,2,,8,,,,,,,,,,,,,0,26,3400,0.007647058823529412,,,,False,True
,,,,0,,10,,,,,,,,,,,,,0,8,23,0.34782608695652173,,,,False,True
,,,,7,,11,,,,,,,,,,,,,0,0,6,0,,,,True,True
,,,,0,,9,,,,,,,,,,,,,0,0,194,0,,,,True,True
,,,,0,,8,,,,,,,,,,,,,0,48,179,0.2681564245810056,,,,False,True
,,,,5,,19,,,,,,,,,,,,,0,38,1678,0.02264600715137068,,,,False,True
,,,,0,,11,,,,,,,,,,,,,0,14,3086,0.004536616979909268,,,,False,True
,,,,3,,16,,,,,,,,,,,,,130,85,1401,0.06067094932191292,,,,False,True
,,,,0,,12,,,,,,,,,,,,,12,11,1008,0.010912698412698412,,,,False,True
,,,,4,,9,,,,,,,,,,,,,0,14,1725,0.008115942028985508,,,,True,True
,,,,0,,8,,,,,,,,,,,,,0,15,659,0.02276176024279211,,,,False,True
,,,,7,,15,,,,,,,,,,,,,0,145,2291,0.06329113924050633,,,,False,True
,,,,0,,7,,,,,,,,,,,,,0,368,6929,0.05311011689998557,,,,False,True
,,,,0,,13,,,,,,,,,,,,,0,16,2473,0.00646987464617873,,,,False,True
,,,,4,,9,,,,,,,,,,,,,0,151,1975,0.07645569620253165,,,,True,True
,,,,3,,9,,,,,,,,,,,,,0,407,3792,0.10733122362869198,,,,False,True
,,,,2,,11,,,,,,,,,,,,,0,282,2517,0.11203814064362336,,,,False,True
,,,,2,,10,,,,,,,,,,,,,0,2,57,0.03508771929824561,,,,False,True
,,,,1,,7,,,,,,,,,,,,,0,102,332,0.3072289156626506,,,,False,True
,,,,2,,12,,,,,,,,,,,,,15,125,1396,0.08954154727793696,,,,True,True
,,,,0,,10,,,,,,,,,,,,,24,30,940,0.031914893617021274,,,,False,True
,,,,0,,9,,,,,,,,,,,,,26,622,364,1.7087912087912087,,,,False,True
,,,,4,,9,,,,,,,,,,,,,24,11,344,0.03197674418604651,,,,True,True
,,,,0,,8,,,,,,,,,,,,,0,22,4006,0.0054917623564653024,,,,False,True
,,,,1,,10,,,,,,,,,,,,,0,21,946,0.022198731501057084,,,,False,True
,,,,1,,11,,,,,,,,,,,,,0,20,3543,0.005644933672029354,,,,False,True
,,,,0,,8,,,,,,,,,,,,,0,9,1770,0.005084745762711864,,,,False,True
,,,,3,,13,,,,,,,,,,,,,0,2,757,0.002642007926023778,,,,False,True
,,,,1,,13,,,,,,,,,,,,,85,26,1392,0.01867816091954023,,,,False,True
,,,,0,,18,,,,,,,,,,,,,0,11,2258,0.00487156775907883,,,,False,True
,,,,3,,8,,,,,,,,,,,,,1,150,6631,0.022621022470215652,,,,True,True
,,,,0,,11,,,,,,,,,,,,,34,66,244,0.27049180327868855,,,,False,True
,,,,1,,7,,,,,,,,,,,,,9,69,1374,0.05021834061135371,,,,True,True
,,,,2,,9,,,,,,,,,,,,,0,441,2772,0.1590909090909091,,,,True,True
,,,,0,,14,,,,,,,,,,,,,0,0,577,0,,,,True,True
,,,,0,,14,,,,,,,,,,,,,0,52,4614,0.011270047680970958,,,,False,True
,,,,1,,11,,,,,,,,,,,,,57,71,31,2.2903225806451615,,,,False,True
,,,,2,,12,,,,,,,,,,,,,0,1,1807,0.0005534034311012728,,,,True,True
,,,,4,,10,,,,,,,,,,,,,0,301,7493,0.04017082610436407,,,,True,True
,,,,4,,14,,,,,,,,,,,,,0,10,1768,0.005656108597285068,,,,False,True
,,,,2,,9,,,,,,,,,,,,,0,22,2666,0.008252063015753939,,,,True,True
,,,,1,,15,,,,,,,,,,,,,92,0,1,0,,,,False,True
,,,,1,,11,,,,,,,,,,,,,13,2,1973,0.0010136847440446021,,,,True,True
,,,,4,,9,,,,,,,,,,,,,0,0,848,0,,,,True,True
,,,,0,,15,,,,,,,,,,,,,110,34,938,0.03624733475479744,,,,False,True
,,,,0,,10,,,,,,,,,,,,,138,0,25,0,,,,False,True
,,,,4,,10,,,,,,,,,,,,,0,5,77,0.06493506493506493,,,,False,True
,,,,2,,10,,,,,,,,,,,,,0,32,4,8.0,,,,False,True
,,,,4,,9,,,,,,,,,,,,,0,13,114,0.11403508771929824,,,,False,True
,,,,2,,12,,,,,,,,,,,,,0,7,2116,0.0033081285444234404,,,,False,True
,,,,0,,9,,,,,,,,,,,,,9,153,1195,0.1280334728033473,,,,False,True
,,,,0,,16,,,,,,,,,,,,,0,14,2429,0.005763688760806916,,,,False,True
,,,,4,,13,,,,,,,,,,,,,0,33,1470,0.022448979591836733,,,,True,True
,,,,0,,9,,,,,,,,,,,,,0,5,16,0.3125,,,,True,True
,,,,5,,11,,,,,,,,,,,,,0,109,1722,0.06329849012775841,,,,True,True
,,,,0,,13,,,,,,,,,,,,,0,0,2513,0,,,,True,True
,,,,0,,8,,,,,,,,,,,,,0,1,67,0.014925373134328358,,,,True,True
,,,,0,,12,,,,,,,,,,,,,129,47,3999,0.011752938234558639,,,,True,True
,,,,0,,9,,,,,,,,,,,,,36,34,3681,0.009236620483564249,,,,False,True
,,,,2,,11,,,,,,,,,,,,,70,32,3921,0.00816118337158888,,,,False,True
,,,,0,,15,,,,,,,,,,,,,0,140,1104,0.12681159420289856,,,,False,True
,,,,1,,10,,,,,,,,,,,,,0,34,7158,0.004749930148086058,,,,False,True
,,,,0,,9,,,,,,,,,,,,,16,80,1844,0.04338394793926247,,,,True,True
,,,,0,,12,,,,,,,,,,,,,0,59,6603,0.008935332424655459,,,,True,True
,,,,0,,12,,,,,,,,,,,,,0,290,2269,0.127809607756721,,,,True,True
,,,,0,,21,,,,,,,,,,,,,0,35,2553,0.013709361535448493,,,,False,True
,,,,4,,10,,,,,,,,,,,,,0,61,992,0.06149193548387097,,,,False,True
,,,,3,,10,,,,,,,,,,,,,0,401,3796,0.10563751317175975,,,,False,True
,,,,0,,11,,,,,,,,,,,,,0,4,1546,0.00258732212160414,,,,False,True
,,,,0,,16,,,,,,,,,,,,,0,3,151,0.019867549668874173,,,,True,True
,,,,2,,7,,,,,,,,,,,,,0,8,1709,0.004681100058513751,,,,True,True
,,,,3,,10,,,,,,,,,,,,,0,160,2246,0.07123775601068566,,,,False,True
,,,,0,,13,,,,,,,,,,,,,0,0,753,0,,,,True,True
,,,,3,,9,,,,,,,,,,,,,8,37,1982,0.01866801210898083,,,,False,True
,,,,0,,8,,,,,,,,,,,,,0,129,1796,0.07182628062360802,,,,True,True
,,,,2,,14,,,,,,,,,,,,,0,16,266,0.06015037593984962,,,,False,True
,,,,0,,11,,,,,,,,,,,,,11,534,539,0.9907235621521335,,,,False,True
,,,,2,,13,,,,,,,,,,,,,0,11,76,0.14473684210526316,,,,False,True
,,,,1,,11,,,,,,,,,,,,,0,643,2240,0.2870535714285714,,,,False,True
,,,,3,,15,,,,,,,,,,,,,0,6,181,0.03314917127071823,,,,False,True
,,,,3,,12,,,,,,,,,,,,,0,15,399,0.03759398496240601,,,,False,True
,,,,0,,14,,,,,,,,,,,,,0,14,1229,0.011391375101708706,,,,True,True
,,,,1,,9,,,,,,,,,,,,,0,69,3577,0.019289907743919487,,,,False,True
,,,,0,,9,,,,,,,,,,,,,0,12,25,0.48,,,,False,True
,,,,6,,9,,,,,,,,,,,,,0,1127,3758,0.29989356040447046,,,,True,True
,,,,3,,10,,,,,,,,,,,,,0,12,2319,0.00517464424320828,,,,False,True
