,user_id,username,post_md_like,post_md_retweet,post_md_reply,post_md_quote,post_text,post_text_length
0,9A65B39D-BB34-4AE9-9416-C61F03E7916B,,11.0,,0,,,54.0
1,BBB82EDD-1803-4C89-AA8B-BB6C51B376A5,,99.0,,5,,,83.0
2,C3848619-6E82-44F8-A056-0FC7802BB687,,6.0,,0,,,8.0
3,EE200222-4FDD-4628-B6C9-5BA47C6E4247,,23.0,,2,,,0.0
4,57FA017A-E61C-44BE-A2EC-B7DA4AC29EB0,,341400.0,,2371,,,30.0
5,4518E624-9380-423C-B684-4DCA800AB9B5,,10.0,,0,,,43.0
6,5D3F1295-6792-4CCD-A9F5-64780B542207,,182000.0,,719,,,90.0
7,F3CB103B-C7A1-49F4-8A78-3B507915D683,,2579.0,,156,,,27.0
8,5F3FBB7B-13B8-418E-A249-CDEEED34CC88,,1.0,,0,,,0.0
9,527C37C1-DBB0-4D49-9331-8E6EAE90C3DE,,30.0,,1,,,10.0
10,C4167795-0F4D-4F21-BD64-5AB915196908,,11.0,,0,,,68.0
11,D70AC153-2317-41F0-9BC8-3A15423FE593,,0.0,,0,,,1.0
12,3CC127C0-E3EA-4A30-B61C-B3114242953C,,209.0,,4,,,28.0
13,FFBF34E1-2AC2-4174-A0ED-63728C395F97,,1.0,,0,,,0.0
14,C4F0BD95-46A2-40CC-BEEA-21BF57ECA8E1,,5.0,,0,,,29.0
15,250ACE31-E97A-439C-8D19-6F19BAFD448C,,74.0,,10,,,110.0
16,869827F6-BE23-4FFB-8983-5B17605D814E,,10.0,,1,,,52.0
17,A35246C4-CBC8-4406-A16F-9BB1FD63689B,,115.0,,9,,,35.0
18,7C13E479-B470-4EAE-95A6-31F241DA9476,,267.0,,4,,,22.0
19,5D257EDB-C87D-434C-8A00-36CD92A1BF0F,,4113.0,,216,,,0.0
20,2E24D6B7-BE22-49BF-8057-19BF33DAAD0B,,33.0,,3,,,111.0
21,990AC30F-D8EB-4281-BB51-DC6BDC61393D,,1.0,,0,,,35.0
22,0291ACE1-4B7B-4F89-AAB5-C61CB4B88923,,81.0,,13,,,36.0
23,6BD43FE1-B805-4BAA-8A10-C695783965D5,,22.0,,0,,,112.0
24,353ED52A-6CDE-4246-9D8B-0E6DE70CE215,,442.0,,6,,,129.0
25,8A5DC212-3C8E-4416-BEE3-11F0385EDF93,,28.0,,2,,,8.0
26,EF6E1231-990E-4967-BD03-E88DD6AADF50,,134.0,,7,,,117.0
27,11E45595-CCB1-490A-8FB0-376DBBDCDB95,,2.0,,1,,,0.0
28,C571C62A-B915-4CA7-B6BB-6373CE074295,,68.0,,2,,,15.0
29,6F226AFE-35AF-4D88-A508-78B8886616CA,,14.0,,1,,,89.0
30,B7D5C345-93C5-4CA6-8CA2-94290543B643,,75.0,,6,,,51.0
31,AC41F82A-C4E1-4C63-AE23-16B44CD445F9,,23700.0,,973,,,117.0
32,6BD43FE1-B805-4BAA-8A10-C695783965D5,,6.0,,1,,,90.0
33,D847DC78-2342-4996-B098-0317F7F969D6,,17200.0,,144,,,11.0
34,DFD5D1C0-D139-4035-BE1A-AB75A232AD7D,,1.0,,0,,,72.0
35,A63A9271-EE46-4B99-BBDA-9467E68BFE5B,,2934.0,,49,,,98.0
36,88B81542-534F-4691-933C-9484681258C2,,2886.0,,46,,,85.0
37,0D92F336-6F37-42A8-9101-61E3915FC1D1,,4902.0,,14,,,76.0
38,5342E4FF-6653-4084-BDF5-56C8959BEF8A,,167600.0,,619,,,75.0
39,63EC51CE-088A-4FEA-B482-FB5E896231E5,,1.0,,0,,,0.0
40,903D7458-53A3-4811-85B0-909DB40B6D2A,,6096.0,,77,,,41.0
41,AE0E1AC4-BC5C-46B6-9C24-2FE634114F18,,11600.0,,125,,,98.0
42,66602C5C-5438-41AC-8C13-1380B74A7A17,,4.0,,0,,,39.0
43,DF594A7D-0CA5-4834-8FEC-8F889249C0A8,,21.0,,0,,,8.0
44,B1373E2F-7307-48EA-A337-17D09D3CA7C1,,452700.0,,2084,,,25.0
45,DFE59008-F211-4CAF-8BF6-9AF259E5A3B5,,5.0,,0,,,88.0
46,B6F716E0-1C43-4052-B555-1CD2BB71EAE2,,4645.0,,54,,,10.0
47,93CA0EC7-65BF-4A89-9766-B656C9E5DA22,,5555.0,,55,,,121.0
48,145893E4-16F9-4390-803D-AD39FD4C9A79,,456.0,,13,,,100.0
49,DBB85758-409E-45E0-8595-2A3306B90B32,,8.0,,0,,,73.0
50,BEDCD716-3065-4462-904E-42F96174810E,,57.0,,6,,,77.0
51,DE94ED04-939F-411F-B2CE-86A36CA46052,,203900.0,,2035,,,102.0
52,C726988D-1F07-4BF8-BBF3-40739B4BB7AB,,5.0,,0,,,56.0
53,9BC0B165-3258-4E1F-BCB3-0A1C71482FBD,,393.0,,69,,,100.0
54,D1547BC9-80A7-4FA3-A46A-E2F3E948B833,,14.0,,2,,,23.0
55,DA65CF01-CD25-4655-B8DC-5D5CBF56FFA6,,24.0,,0,,,108.0
56,E0231EB2-7137-4BAE-9CD1-6B9CEDD28FE5,,309.0,,12,,,34.0
57,D695194A-4D6B-4C2E-9523-E377E9606BA6,,63200.0,,177,,,99.0
58,196F67EC-7BF3-40D0-8C37-A064FCD72E32,,10.0,,0,,,0.0
59,F68A2614-8990-48B1-8936-3DED193F357D,,4.0,,0,,,0.0
60,E8F82B67-51A2-4E1A-AFFC-33F8019BAB36,,233.0,,4,,,34.0
61,20118A1D-5411-41FC-9FE1-FC83292F6E63,,552.0,,8,,,112.0
62,172723BE-058B-4F1B-AC68-ACA15F01BD14,,4996.0,,15,,,100.0
