,Labeled,Unlabeled,Testing,Labeled_Available,Unlabeled_Available,Testing_Available
description,73.07098765,68.85392811,56.64863647,26.92901235,31.14607189,43.35136353
description_length,70.60185185,28.90570547,56.64863647,29.39814815,71.09429453,43.35136353
is_missing_description,0,0,0,100,100,100
is_missing_post_metadata,0,0,0,100,100,100
is_missing_post_text,0,0,0,100,100,100
is_missing_screenname,0,0,0,100,100,100
is_missing_user_metadata,0,0,0,100,100,100
is_missing_username,0,0,0,100,100,100
label,0,,0,100,,100
post_md_like_mean,75.84876543,69.76998905,75.71557359,24.15123457,30.23001095,24.28442641
post_md_like_std,75.84876543,69.76998905,75.71557359,24.15123457,30.23001095,24.28442641
post_md_quote_mean,100,96.07189087,100,0,3.928109131,0
post_md_quote_std,100,96.07189087,100,0,3.928109131,0
post_md_reply_mean,75.84876543,78.2584885,100,24.15123457,21.7415115,0
post_md_reply_std,75.84876543,78.2584885,100,24.15123457,21.7415115,0
post_md_retweet_mean,91.31944444,87.58339142,75.71557359,8.680555556,12.41660858,24.28442641
post_md_retweet_std,91.31944444,87.58339142,75.71557359,8.680555556,12.41660858,24.28442641
post_sentiment_numeric_mean,74.69135802,87.58339142,75.71557359,25.30864198,12.41660858,24.28442641
post_sentiment_numeric_prop_negative,74.69135802,87.58339142,75.71557359,25.30864198,12.41660858,24.28442641
post_sentiment_numeric_prop_neutral,74.69135802,87.58339142,75.71557359,25.30864198,12.41660858,24.28442641
post_sentiment_numeric_prop_positive,74.69135802,87.58339142,75.71557359,25.30864198,12.41660858,24.28442641
post_sentiment_numeric_std,74.69135802,87.58339142,75.71557359,25.30864198,12.41660858,24.28442641
post_sentiment_score_mean,74.69135802,87.58339142,75.71557359,25.30864198,12.41660858,24.28442641
post_sentiment_score_std,74.69135802,87.58339142,75.71557359,25.30864198,12.41660858,24.28442641
post_text_length_mean,74.69135802,87.58339142,75.71557359,25.30864198,12.41660858,24.28442641
post_text_length_std,74.69135802,87.58339142,75.71557359,25.30864198,12.41660858,24.28442641
screenname,66.47376543,64.45285273,100,33.52623457,35.54714727,0
screenname_emoji,66.47376543,64.45285273,100,33.52623457,35.54714727,0
screenname_hashtag,66.47376543,64.45285273,100,33.52623457,35.54714727,0
screenname_length,66.47376543,64.45285273,100,33.52623457,35.54714727,0
screenname_lowercase,66.47376543,64.45285273,100,33.52623457,35.54714727,0
screenname_numeric,66.47376543,64.45285273,100,33.52623457,35.54714727,0
screenname_se,66.47376543,64.45285273,100,33.52623457,35.54714727,0
screenname_special,66.47376543,64.45285273,100,33.52623457,35.54714727,0
screenname_uppercase,66.47376543,64.45285273,100,33.52623457,35.54714727,0
screenname_word,66.47376543,64.45285273,100,33.52623457,35.54714727,0
topic_0,73.07098765,68.85392811,56.64863647,26.92901235,31.14607189,43.35136353
topic_1,73.07098765,68.85392811,56.64863647,26.92901235,31.14607189,43.35136353
topic_2,73.07098765,68.85392811,56.64863647,26.92901235,31.14607189,43.35136353
topic_3,73.07098765,68.85392811,56.64863647,26.92901235,31.14607189,43.35136353
topic_4,73.07098765,68.85392811,56.64863647,26.92901235,31.14607189,43.35136353
topic_5,73.07098765,68.85392811,56.64863647,26.92901235,31.14607189,43.35136353
topic_6,73.07098765,68.85392811,56.64863647,26.92901235,31.14607189,43.35136353
topic_7,73.07098765,68.85392811,56.64863647,26.92901235,31.14607189,43.35136353
topic_8,73.07098765,68.85392811,56.64863647,26.92901235,31.14607189,43.35136353
topic_9,73.07098765,68.85392811,56.64863647,26.92901235,31.14607189,43.35136353
user_id,33.7962963,35.54714727,0,66.2037037,64.45285273,100
user_md_follow_ratio,32.63888889,28.90570547,24.49853505,67.36111111,71.09429453,75.50146495
user_md_follower,32.63888889,28.90570547,24.49853505,67.36111111,71.09429453,75.50146495
user_md_following,32.63888889,28.90570547,24.49853505,67.36111111,71.09429453,75.50146495
user_md_protected,16.62808642,71.09429453,80.84291188,83.37191358,28.90570547,19.15708812
user_md_total_like,33.7962963,71.09429453,43.65562317,66.2037037,28.90570547,56.34437683
user_md_total_post,29.4367284,0,43.65562317,70.5632716,100,56.34437683
user_md_verified,50.6558642,35.54714727,43.65562317,49.3441358,64.45285273,56.34437683
username,66.43518519,64.45285273,43.65562317,33.56481481,35.54714727,56.34437683
username_length,66.43518519,64.45285273,43.65562317,33.56481481,35.54714727,56.34437683
username_lowercase,66.43518519,64.45285273,43.65562317,33.56481481,35.54714727,56.34437683
username_numeric,66.43518519,64.45285273,43.65562317,33.56481481,35.54714727,56.34437683
username_se,66.43518519,64.45285273,43.65562317,33.56481481,35.54714727,56.34437683
username_special,66.43518519,64.45285273,43.65562317,33.56481481,35.54714727,56.34437683
username_uppercase,66.43518519,64.45285273,43.65562317,33.56481481,35.54714727,56.34437683
