user_id,username,username_uppercase,username_lowercase,username_numeric,username_special,username_length,username_se,screenname,screenname_uppercase,screenname_lowercase,screenname_numeric,screenname_special,screenname_length,screenname_se,screenname_emoji,screenname_hashtag,screenname_word,description,description_length,user_md_follower,user_md_following,user_md_follow_ratio,user_md_total_post,user_md_total_like,user_md_verified,user_md_protected
,,,,,,,,,,,,,,,,,,,173,102,527,0.1935483870967742,55,,,
,,,,,,,,,,,,,,,,,,,43,1000,938,1.0660980810234542,80,,,
,,,,,,,,,,,,,,,,,,,0,118,6800,0.01735294117647059,5,,,
,,,,,,,,,,,,,,,,,,,0,265,7400,0.03581081081081081,15,,,
,,,,,,,,,,,,,,,,,,,0,426,7400,0.05756756756756757,6,,,
,,,,,,,,,,,,,,,,,,,32,557,2400,0.23208333333333334,459,,,
,,,,,,,,,,,,,,,,,,,43,743,1500,0.49533333333333335,915,,,
,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0,,,
,,,,,,,,,,,,,,,,,,,82,1100,2400,0.4583333333333333,385,,,
,,,,,,,,,,,,,,,,,,,151,87,570,0.15263157894736842,37,,,
,,,,,,,,,,,,,,,,,,,24,258,632,0.40822784810126583,2,,,
,,,,,,,,,,,,,,,,,,,154,143,7500,0.019066666666666666,27,,,
,,,,,,,,,,,,,,,,,,,170,2800,7400,0.3783783783783784,206,,,
,,,,,,,,,,,,,,,,,,,171,2000,7300,0.273972602739726,441,,,
,,,,,,,,,,,,,,,,,,,0,271,2800,0.09678571428571428,41,,,
,,,,,,,,,,,,,,,,,,,7,475,748,0.6350267379679144,366,,,
,,,,,,,,,,,,,,,,,,,117,813,1500,0.542,59,,,
,,,,,,,,,,,,,,,,,,,0,445,6900,0.0644927536231884,49,,,
,,,,,,,,,,,,,,,,,,,49,89,64,1.390625,8,,,
,,,,,,,,,,,,,,,,,,,35,2600,1500,1.7333333333333334,160,,,
,,,,,,,,,,,,,,,,,,,22,61,183,0.3333333333333333,1,,,
,,,,,,,,,,,,,,,,,,,15,1400,4900,0.2857142857142857,690,,,
,,,,,,,,,,,,,,,,,,,122,10300,7500,1.3733333333333333,165,,,
,,,,,,,,,,,,,,,,,,,166,196,7100,0.0276056338028169,37,,,
,,,,,,,,,,,,,,,,,,,0,330,826,0.39951573849878935,5,,,
